[9/23/2015 8:57:24 AM] Connection to station PBAY could not be established.
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036q.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036r.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036s.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036t.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036u.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036v.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036w.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY036x.m00 varsam[8].Substring(4, 3)): 036 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037a.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037b.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037c.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037d.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037e.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037f.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037g.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037h.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037i.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037j.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037k.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037l.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037m.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037n.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037o.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
[9/23/2015 9:11:46 AM] JulianDate: 032 varsam[8]: PBAY037p.m00 varsam[8].Substring(4, 3)): 037 varsam[8].Substring(9, 1)):m
